pops	loglikelihood	pop1	pop1_growth	pop2	pop2_growth	split_time_gen	split_time_years
CLCM	-536946	79094	318615	107688	114511	11024	22048
CLPO	-470867	74089	385556	110925	223680	15042	30084
CLRA	-242042	105533	424957	54078	415668	17950	35900
CMSC	-1041896	122414	104752	72952	66083	17229	34458
DBPO	-1156174	126747	170478	92306	125200	8973	17946
DBRA	-311191	182946	192739	11669	1044829	2546	5092
DBSK	-311863	98868	191775	98868	219930	486	972
DBTB	-1468353	115185	183133	118897	88007	15942	31884
HPPD	-202484	139930	210381	25358	3849234	16714	33428
HPTB	-722806	101314	116500	106797	110365	10694	21388
PDTB	-171694	22188	3160165	150020	166313	11421	22842
POSK	-666131	115656	188116	83845	184428	9991	19982
SCSK	-511658	18957	128697	161291	162801	5632	11264
SCTB	-821167	66022	80089	136317	135250	22625	45250
